k;alpha;nPayments;End Epoch;DeployGas;StartConfirmGas;MaxConfirmGas;MinConfirmGas;PayGas
10;1;1;No;1710181;114004;65056;50056;85051
10;1;1;Yes;1710181;377709;65056;50056;186888
10;1;2;No;1710181;156082;65056;50056;96981
10;1;2;Yes;1710181;419787;65056;50056;198818
10;1;3;No;1710181;198148;65056;50056;108911
10;1;3;Yes;1710181;461853;65056;50056;210748
10;1;4;No;1710181;240226;65056;50056;120841
10;1;4;Yes;1710181;503931;65056;50056;222678
10;1;5;No;1710181;282280;65056;50056;132771
10;1;5;Yes;1710181;545986;65056;50056;234608
10;1;6;No;1710181;324359;65056;50056;144701
10;1;6;Yes;1710181;588064;65056;50056;246538
10;1;7;No;1710181;366425;65056;50056;156631
10;1;7;Yes;1710181;630130;65056;50056;258468
10;1;8;No;1710181;408491;65056;50056;168561
10;1;8;Yes;1710181;672196;65056;50056;270398
10;1;9;No;1710181;450533;65056;50056;180491
10;1;9;Yes;1710181;714239;65056;50056;282328
10;1;10;No;1710181;492611;65056;50056;192421
10;1;10;Yes;1710181;756317;65056;50056;294258
10;1;11;No;1710181;534666;65056;50056;204351
10;1;11;Yes;1710181;798371;65056;50056;306188
10;2;1;No;1754670;114004;65056;50056;89381
10;2;1;Yes;1754670;398185;65056;50056;199819
10;2;2;No;1754670;156082;65056;50056;101311
10;2;2;Yes;1754670;440263;65056;50056;211749
10;2;3;No;1754670;198148;65056;50056;113241
10;2;3;Yes;1754670;482329;65056;50056;223679
10;2;4;No;1754670;240226;65056;50056;125171
10;2;4;Yes;1754670;524407;65056;50056;235609
10;2;5;No;1754670;282280;65056;50056;137101
10;2;5;Yes;1754670;566462;65056;50056;247539
10;2;6;No;1754670;324359;65056;50056;149031
10;2;6;Yes;1754670;608540;65056;50056;259469
10;2;7;No;1754670;366425;65056;50056;160961
10;2;7;Yes;1754670;650606;65056;50056;271399
10;2;8;No;1754670;408479;65056;50056;172891
10;2;8;Yes;1754670;692660;65056;50056;283329
10;2;9;No;1754670;450533;65056;50056;184821
