value_hours,cdf
2.089381153305204,0.001
2.238157894736842,0.002
2.286640211640212,0.003
2.3985159817351596,0.004
2.4172979797979797,0.005
2.5674657534246577,0.006
2.649387254901961,0.007
2.74375,0.008
2.7663176265270506,0.009
2.807823129251701,0.01
2.8269934640522876,0.011
2.867565359477124,0.012
2.8830985915492957,0.013
2.9368,0.014
2.94,0.015
3.000625,0.016
3.020489296636086,0.017
3.110486891385768,0.018
3.147831978319783,0.019
3.2187338501291993,0.02
3.2538135593220336,0.021
3.253974358974359,0.022
3.2690074906367044,0.023
3.281878306878307,0.024
3.3196360153256705,0.025
3.3433333333333333,0.026
3.347560975609756,0.027
3.4135087719298247,0.028
3.428306878306878,0.029
3.4729629629629626,0.03
3.4963888888888888,0.031
3.5013157894736846,0.032
3.545977011494253,0.033
3.5466085271317827,0.034
3.551808785529716,0.035
3.5644444444444443,0.036
3.582846715328467,0.037
3.6590342679127725,0.038
3.713888888888889,0.039
3.7254807692307694,0.04
3.763425925925926,0.041
3.7672480620155038,0.042
3.775951293759513,0.043
3.7893827160493827,0.044
3.797423510466989,0.045
3.8508823529411766,0.046
3.8655172413793104,0.047
3.902677376171352,0.048
3.9130666666666665,0.049
3.939676616915423,0.05
3.943893678160919,0.051
3.952475247524753,0.052
3.9672727272727273,0.053
3.9704301075268815,0.054
3.985483870967742,0.055
3.9894444444444446,0.056
4.008067375886524,0.057
4.013333333333334,0.058
4.022743055555556,0.059
4.024055829228243,0.06
4.033333333333333,0.061
4.036769005847953,0.062
4.037419354838709,0.063
4.045215311004785,0.064
4.074242424242424,0.065
4.078902953586498,0.066
4.083521657250471,0.067
4.095238095238096,0.068
4.096951219512195,0.069
4.100219298245614,0.07
4.102028218694885,0.071
4.108333333333333,0.072
4.11952380952381,0.073
4.121138211382114,0.074
4.1226907630522085,0.075
4.134110535405872,0.076
4.150155763239876,0.077
4.151082251082251,0.078
4.159722222222222,0.079
4.170460704607046,0.08
4.174778761061947,0.081
4.200333333333333,0.082
4.221623563218391,0.083
4.22514245014245,0.084
4.228260869565218,0.085
4.228363914373088,0.086
4.2329573934837095,0.087
4.239770723104057,0.088
4.241116352201258,0.089
4.273903508771929,0.09
4.2745614035087725,0.091
4.283578431372549,0.092
4.298611111111111,0.093
4.313026819923372,0.094
4.3187984496124034,0.095
4.319734660033168,0.096
4.3239711934156375,0.097
4.324509803921568,0.098
4.332613168724279,0.099
4.34640350877193,0.1
4.346417445482866,0.101
4.351409618573798,0.102
4.362021857923497,0.103
4.365058479532164,0.104
4.366129032258065,0.105
4.382456140350877,0.106
4.393129770992366,0.107
4.393881856540085,0.108
4.394128787878788,0.109
4.398571428571429,0.11
4.40140562248996,0.111
4.405137844611529,0.112
4.437843784378438,0.113
4.437896825396825,0.114
4.464079147640792,0.115
4.464191419141914,0.116
4.469027777777778,0.117
4.47297619047619,0.118
4.482352941176471,0.119
4.483333333333333,0.12
4.487265917602996,0.121
4.492261904761905,0.122
4.496969696969697,0.123
4.523441734417344,0.124
4.53210922787194,0.125
4.534034267912772,0.126
4.538888888888889,0.127
4.546212121212121,0.128
4.547916666666667,0.129
4.568544600938967,0.13
4.56946386946387,0.131
4.577107279693486,0.132
4.584106529209622,0.133
4.584729981378026,0.134
4.5905275779376495,0.135
4.600699300699301,0.136
4.602930402930403,0.137
4.6090182648401825,0.138
4.614107883817427,0.139
4.619540229885057,0.14
4.638423645320197,0.141
4.6396296296296295,0.142
4.644444444444445,0.143
4.669880952380953,0.144
4.670722433460076,0.145
4.680119047619048,0.146
4.680523255813954,0.147
4.6837719298245615,0.148
4.684782608695652,0.149
4.694107744107744,0.15
4.696296296296297,0.151
4.699832214765101,0.152
4.7,0.153
4.708484848484848,0.154
4.7162192393736015,0.155
4.729616306954436,0.156
4.7413087934560325,0.157
4.756857142857142,0.158
4.759775641025641,0.159
4.760666666666666,0.16
4.762323943661972,0.161
4.779651162790698,0.162
4.780555555555556,0.163
4.785213032581454,0.164
4.8018640350877195,0.165
4.802138643067846,0.166
4.805775577557755,0.167
4.823931623931625,0.168
4.825710594315245,0.169
4.83191056910569,0.17
4.832075471698113,0.171
4.833333333333333,0.172
4.836168384879725,0.173
