User,pairs_json
1150,"[[1577859060000,0.92],[1577862000000,291.37],[1577866140000,15.91],[1577874720000,177.16],[1577894760000,69.03],[1577895660000,67.0],[1577900160000,90.21],[1577900580000,72.0],[1577902560000,300.27],[1577904540000,1.87],[1577946240000,1.99],[1577961000000,145.57],[1577979480000,153.78],[1577979780000,16.09],[1577981040000,82.86],[1577981820000,155.04],[1577982000000,61.0],[1578048060000,175.26],[1578064200000,89.0],[1578065100000,91.33],[1578066420000,168.31],[1578068400000,93.12],[1578068460000,56.0],[1578073740000,95.45],[1578073980000,57.0],[1578116760000,2.08],[1578132240000,237.11],[1578150180000,101.5],[1578151260000,69.0],[1578154500000,95.94],[1578154800000,59.0],[1578160200000,70.0],[1578160380000,105.31],[1578163680000,2.29],[1578205440000,1.25],[1578218760000,154.53],[1578220260000,120.86],[1578239820000,178.06],[1578241140000,131.2],[1578241260000,80.0],[1578245100000,90.25],[1578245340000,72.0],[1578246120000,147.16],[1578246720000,76.0],[1578249840000,1.74],[1578291000000,1.95],[1578307440000,80.57],[1578320100000,16.61],[1578324600000,122.23],[1578327360000,102.8],[1578327540000,85.0],[1578330120000,68.0],[1578331080000,54.95],[1578333240000,79.0],[1578333240000,98.95],[1578351780000,71.38],[1578394020000,143.17],[1578411360000,88.93],[1578411480000,176.19],[1578411600000,52.0],[1578412980000,61.0],[1578414000000,108.1],[1578414300000,25.96],[1578418380000,99.53],[1578418440000,53.0],[1578434400000,18.03],[1578463680000,2.58],[1578480060000,160.9],[1578498120000,187.14],[1578509400000,1.92],[1578523140000,25.25],[1578550080000,1.88],[1578567060000,199.27],[1578570240000,93.12000000000171]]"
1249,"[[1577852700000,39.75],[1577856180000,11.17],[1577864340000,44.43],[1577865000000,76.0],[1577865600000,85.0],[1577866140000,50.2],[1577874960000,14.16],[1577894700000,52.38],[1577896020000,97.0],[1577900580000,11.38],[1577941740000,11.4],[1577950500000,93.0],[1577951460000,50.64],[1577961480000,15.15],[1577975940000,23.68],[1577983620000,46.98],[1577983920000,55.0],[1577994120000,54.0],[1577995020000,42.23],[1578028800000,9.4],[1578038760000,90.0],[1578039420000,51.35],[1578041400000,79.29],[1578045360000,47.16],[1578047820000,15.22],[1578053340000,90.23],[1578066660000,89.24],[1578068160000,86.74],[1578069780000,76.0],[1578070560000,29.48],[1578076980000,69.0],[1578077880000,63.64],[1578115200000,8.37],[1578127380000,78.64],[1578130380000,52.04],[1578133980000,14.37],[1578137520000,73.63],[1578152880000,91.37],[1578155640000,66.0],[1578156660000,49.83],[1578168960000,50.0],[1578169320000,72.94],[1578202140000,9.94],[1578211260000,86.0],[1578212760000,46.23],[1578214500000,50.8],[1578221580000,15.23],[1578227040000,58.39],[1578239400000,101.21],[1578242940000,43.13],[1578243060000,90.0],[1578244620000,23.68],[1578254280000,58.0],[1578254280000,48.08],[1578264660000,0.86],[1578287640000,5.73],[1578290160000,8.38],[1578297960000,67.66],[1578299220000,51.0],[1578301020000,77.58],[1578306000000,13.02],[1578312180000,99.48],[1578325440000,42.59],[1578326520000,26.15],[1578328260000,54.73],[1578328560000,70.0],[1578339240000,98.0],[1578340080000,30.5],[1578341400000,85.0],[1578341400000,52.74],[1578384480000,82.0],[1578385080000,54.83],[1578385320000,69.74],[1578386460000,85.27],[1578389700000,84.44],[1578393840000,11.65],[1578399300000,76.97],[1578412020000,56.64],[1578414780000,47.34],[1578416160000,57.0],[1578426000000,70.0],[1578426720000,61.74],[1578475320000,84.44],[1578480060000,11.81],[1578485640000,114.38],[1578500580000,78.4],[1578512700000,91.0],[1578513420000,58.3],[1578544620000,11.13],[1578546960000,8.41],[1578557220000,50.64],[1578558060000,86.0],[1578563160000,54.78],[1578565680000,44.81],[1578609720000,2.49],[1578633540000,8.35],[1578643860000,55.14],[1578644280000,91.0],[1578646380000,83.35],[1578652860000,80.0],[1578653760000,12.73],[1578657660000,93.58],[1578669780000,97.54],[1578670500000,92.89],[1578673860000,92.0],[1578674520000,54.98],[1578684720000,48.13],[1578685020000,79.0],[1578686940000,30.88],[1578687300000,77.0],[1578729960000,50.3],[1578730980000,90.0],[1578732060000,78.23],[1578739620000,14.06],[1578745200000,85.42],[1578761160000,90.0],[1578761160000,56.88],[1578771240000,44.95999999999822]]"
332,"[[1577872080000,64.77],[1577872200000,52.0],[1577887920000,71.12],[1577888940000,61.0],[1577893200000,469.24],[1577908080000,76.72],[1577908500000,91.0],[1577915220000,10.48],[1577965200000,81.04],[1577966640000,67.17],[1577974080000,71.58],[1577975040000,69.0],[1577994120000,71.0],[1577994180000,74.66],[1578044640000,60.0],[1578045060000,79.82],[1578052320000,29.89],[1578053520000,42.65],[1578058380000,16.68],[1578061080000,67.69],[1578061620000,88.0],[1578111300000,5.33],[1578130560000,85.21],[1578131100000,67.0],[1578138420000,24.8],[1578140520000,74.49],[1578147240000,95.0],[1578147480000,78.0],[1578167460000,85.0],[1578167880000,53.85],[1578168180000,84.24],[1578218220000,69.49],[1578223020000,45.82],[1578227880000,270.05],[1578234060000,55.0],[1578234540000,84.1],[1578235800000,70.0],[1578236280000,68.01],[1578248700000,16.72],[1578303060000,56.8],[1578303180000,69.0],[1578304980000,57.0],[1578305880000,116.08],[1578312720000,51.22],[1578319560000,70.86],[1578320940000,72.86],[1578321960000,91.0],[1578322740000,76.51],[1578338220000,188.56],[1578390240000,58.0],[1578390300000,98.35],[1578425940000,87.0],[1578426660000,83.44],[1578431520000,222.0],[1578472800000,88.84],[1578473520000,55.0],[1578476220000,88.13],[1578477000000,57.0],[1578493020000,51.66],[1578493080000,65.0],[1578494340000,366.25],[1578511800000,82.41],[1578512340000,62.0],[1578560880000,95.0],[1578561960000,71.8],[1578563220000,46.22],[1578563880000,80.0],[1578571260000,58.94],[1578574320000,272.82],[1578579000000,78.0],[1578579720000,70.91],[1578605580000,16.34],[1578648840000,69.0],[1578648960000,39.87],[1578658020000,68.4],[1578664980000,48.49],[1578665880000,56.0],[1578678240000,11.36],[1578685440000,63.0],[1578685860000,74.6],[1578736260000,18.890000000000327]]"
1880,"[[1577839980000,384.87],[1577842080000,480.43],[1577882640000,18.51],[1577897460000,62.81],[1577927280000,663.8],[1577964600000,11.94],[1577969220000,31.23],[1577972760000,26.7],[1577991600000,71.22],[1578002640000,89.81],[1578014640000,470.94],[1578067920000,123.01],[1578073800000,20.34],[1578083280000,216.0],[1578085560000,49.34],[1578094440000,244.0],[1578099300000,509.77],[1578099720000,183.38],[1578102660000,402.43],[1578133740000,9.06],[1578142440000,26.5],[1578143520000,24.23],[1578185820000,459.85],[1578186540000,383.57],[1578189480000,542.48],[1578189900000,397.8],[1578203520000,19.04],[1578228720000,26.01],[1578231720000,239.73],[1578270960000,330.57],[1578273420000,82.86000000000058]]"
39,"[[1577859000000,102.15],[1577859960000,84.0],[1577865900000,4.11],[1577868660000,1.93],[1577876880000,9.27],[1577885160000,2.88],[1577905740000,120.0],[1577909820000,80.0],[1577914680000,132.18],[1577956560000,127.09],[1577963640000,8.26],[1577971080000,3.65],[1577992080000,60.0],[1578001680000,127.57],[1578038580000,2.72],[1578041280000,13.92],[1578042660000,138.77],[1578053460000,6.34],[1578056580000,2.73],[1578058200000,79.71],[1578141240000,2.99],[1578144840000,16.45],[1578145740000,3.73],[1578146160000,75.36],[1578164700000,100.0],[1578166980000,140.0],[1578169440000,100.0],[1578173940000,139.82],[1578208200000,43.68],[1578209520000,5.03],[1578210420000,12.91],[1578212160000,4.45],[1578215220000,158.97],[1578225600000,9.36],[1578229500000,208.78],[1578230880000,2.76],[1578232260000,116.74],[1578233520000,60.28],[1578250380000,120.0],[1578251520000,120.0],[1578255360000,72.85],[1578260400000,136.46],[1578262860000,127.13],[1578301620000,115.52],[1578308100000,8.0],[1578310560000,4.54],[1578317220000,2.94],[1578317820000,120.19],[1578334800000,21.35],[1578337200000,100.0],[1578347280000,130.25],[1578389280000,108.58],[1578396780000,7.79],[1578403560000,2.59],[1578433020000,122.22],[1578475440000,130.29],[1578485640000,45.85],[1578489060000,3.03],[1578508320000,20.14],[1578511680000,180.0],[1578514380000,38.83],[1578519300000,163.39],[1578561000000,111.39],[1578562740000,121.72],[1578576840000,119.71],[1578583440000,38.63],[1578597660000,200.0],[1578604740000,159.19],[1578605760000,126.18],[1578648540000,159.96],[1578651180000,36.78],[1578657480000,8.42],[1578661020000,3.22],[1578663540000,77.77],[1578684360000,140.0],[1578688200000,96.55],[1578692520000,169.01],[1578734460000,163.43],[1578745380000,48.97],[1578750000000,3.46],[1578750180000,145.45],[1578777540000,123.0],[1578778560000,80.24],[1578818340000,4.63],[1578819900000,87.8],[1578825300000,60.03],[1578834300000,3.74],[1578836340000,93.61],[1578836520000,2.38],[1578855600000,6.429999999998472]]"
808,"[[1577855820000,0.6],[1577885580000,64.3],[1577887080000,91.0],[1577918820000,62.44],[1577943360000,0.98],[1577952120000,102.87],[1577955780000,95.0],[1577956860000,83.85],[1577972400000,58.55],[1577972640000,52.0],[1577978580000,26.5],[1578004680000,67.95],[1578008220000,61.26],[1578008640000,100.0],[1578010320000,124.28],[1578028920000,0.97],[1578042900000,58.0],[1578043260000,42.86],[1578058920000,55.0],[1578059400000,61.2],[1578067380000,10.98],[1578090840000,114.25],[1578095520000,79.0],[1578095520000,93.5],[1578115500000,1.07],[1578129720000,73.0],[1578129780000,46.15],[1578145500000,57.99],[1578145860000,96.0],[1578181140000,65.0],[1578181860000,63.32],[1578202140000,0.82],[1578231000000,64.66],[1578232500000,84.0],[1578267720000,52.0],[1578267960000,61.74],[1578302400000,28.33],[1578302460000,69.0],[1578314340000,27.73],[1578318480000,55.7],[1578319140000,50.0],[1578353880000,54.0],[1578354660000,74.92],[1578373860000,0.98],[1578375480000,0.78],[1578389220000,95.0],[1578389280000,51.24],[1578405060000,55.23],[1578405420000,70.0],[1578410100000,24.94],[1578410340000,114.0],[1578436200000,63.95],[1578440460000,72.69],[1578441240000,72.0],[1578459000000,0.51],[1578459660000,1.18],[1578474000000,78.0],[1578475740000,62.23],[1578491280000,64.26],[1578491580000,51.0],[1578523620000,50.33],[1578526260000,62.0],[1578527100000,67.86],[1578527160000,111.98],[1578546000000,1.03],[1578560880000,60.0],[1578561420000,68.82],[1578576840000,60.63],[1578577440000,75.0],[1578602400000,196.3],[1578609180000,74.52],[1578611160000,85.47],[1578613380000,60.81],[1578613740000,57.0],[1578647040000,64.15],[1578663180000,71.23],[1578664140000,87.0],[1578674160000,13.14],[1578695400000,121.98],[1578699360000,77.0],[1578699540000,70.81],[1578720180000,0.99],[1578721080000,1.09],[1578733800000,54.0],[1578734160000,67.16],[1578749700000,36.23],[1578749940000,75.0],[1578782640000,88.91],[1578785820000,50.69],[1578786000000,96.0],[1578806220000,0.83],[1578819840000,58.69],[1578820680000,83.0],[1578833700000,29.47],[1578836820000,50.0],[1578837120000,53.0],[1578840780000,47.78],[1578869940000,105.27],[1578870000000,83.91],[1578872100000,92.0],[1578872460000,62.81],[1578923040000,52.0],[1578923880000,42.05],[1578956040000,88.97],[1578958800000,87.0],[1578959460000,41.05],[1578976200000,1.06],[1578979320000,0.94],[1579009320000,83.0],[1579010220000,58.72],[1579041060000,62.789999999999054]]"
458,"[[1577850000000,174.98],[1577868420000,17.76],[1577877600000,19.27],[1577879160000,19.25],[1577901000000,169.07],[1577936940000,135.08],[1577967720000,80.0],[1577979300000,214.81],[1577985180000,182.32],[1577987040000,190.52],[1578023880000,155.58],[1578031200000,7.29],[1578053340000,110.52],[1578065880000,88.82],[1578066480000,14.99],[1578069960000,154.04],[1578074280000,130.14],[1578074460000,220.99],[1578109740000,178.69],[1578135960000,4.35],[1578136620000,15.02],[1578151200000,15.34],[1578151860000,16.8],[1578152880000,174.08],[1578154980000,208.92],[1578159720000,166.5],[1578195720000,92.5],[1578198300000,176.07],[1578222660000,20.51],[1578229500000,64.61],[1578231660000,74.09],[1578239160000,9.49],[1578282240000,159.29],[1578293400000,5.8],[1578309900000,19.56],[1578332220000,158.26],[1578369540000,103.72],[1578386340000,302.69],[1578392760000,12.46],[1578396060000,15.4],[1578405900000,21.55],[1578409500000,248.64],[1578411240000,205.32],[1578411960000,15.61],[1578418800000,113.73],[1578454500000,99.0],[1578454980000,52.7],[1578455400000,174.44],[1578463920000,27.26],[1578495720000,159.75],[1578498480000,152.84],[1578538980000,129.91],[1578541800000,61.88],[1578542280000,87.0],[1578567840000,14.89],[1578591540000,218.03],[1578628320000,144.18],[1578671460000,196.25],[1578676140000,102.18],[1578678600000,201.81],[1578711720000,95.67999999999938]]"
1888,"[[1577872140000,34.43],[1577872260000,69.0],[1577874000000,72.0],[1577874180000,68.94],[1577875980000,118.99],[1577879280000,19.63],[1577912580000,46.32],[1577918580000,26.97],[1577957460000,49.31],[1577957700000,80.0],[1577959380000,55.0],[1577960640000,128.31],[1577960820000,49.31],[1577961180000,8.88],[1577977440000,87.43],[1577999640000,37.27],[1578004380000,71.0],[1578005460000,58.89],[1578046260000,92.35],[1578046680000,50.0],[1578046800000,59.45],[1578083520000,25.43],[1578085920000,43.33],[1578091080000,84.0],[1578091920000,67.66],[1578132180000,62.11],[1578133020000,88.0],[1578171840000,56.95],[1578175980000,46.27],[1578178260000,88.0],[1578178440000,80.57],[1578186900000,9.28],[1578219060000,75.0],[1578219360000,80.59],[1578258360000,59.53],[1578263820000,98.0],[1578265140000,57.71],[1578299220000,100.0],[1578312600000,28.38],[1578324900000,95.71],[1578350220000,97.0],[1578351120000,58.27],[1578391560000,92.0],[1578392520000,47.77],[1578432360000,48.9],[1578437280000,47.47],[1578437880000,69.0],[1578478200000,94.0],[1578478380000,30.53],[1578478560000,110.88],[1578518880000,42.72],[1578521340000,97.0],[1578522120000,49.28],[1578523560000,94.0],[1578524220000,66.38],[1578524760000,58.2],[1578525960000,91.0],[1578551100000,891.05],[1578551940000,1.31],[1578564600000,150.4],[1578599880000,606.06],[1578645000000,226.89],[1578649560000,70.62],[1578649800000,78.0],[1578650640000,67.0],[1578651060000,69.19],[1578651720000,110.5],[1578690960000,36.31],[1578695520000,62.95],[1578697080000,97.0],[1578735780000,96.88],[1578737700000,50.0],[1578737820000,70.03],[1578777540000,56.67],[1578782340000,51.0],[1578783120000,56.05],[1578830100000,29.920000000000073]]"
331,"[[1577904060000,24.79],[1577909640000,12.58],[1577911680000,17.15],[1577917320000,150.86],[1577918520000,76.98],[1577956860000,145.99],[1577968560000,166.71],[1577975040000,44.94],[1577978820000,120.85],[1577979000000,144.07],[1577981580000,103.77],[1577996340000,11.47],[1578003120000,144.46],[1578034320000,34.62],[1578055080000,112.33],[1578057600000,17.65],[1578068040000,142.74],[1578081900000,14.74],[1578089520000,144.81],[1578141360000,17.28],[1578144420000,25.57],[1578154800000,170.9],[1578169500000,11.53],[1578172680000,70.16],[1578222600000,47.58],[1578228120000,174.18],[1578229800000,19.07],[1578239400000,192.16],[1578239520000,112.25],[1578240060000,145.39],[1578255300000,11.68],[1578262080000,166.65],[1578313560000,17.47],[1578314220000,157.63],[1578323220000,32.42],[1578341580000,12.11],[1578348960000,107.35],[1578400560000,136.1],[1578406980000,44.11],[1578414180000,102.77],[1578427920000,6.27],[1578433560000,170.07],[1578435480000,131.21],[1578487260000,136.22],[1578489060000,26.19],[1578499200000,180.68],[1578513780000,9.83],[1578521760000,175.26],[1578574140000,75.1],[1578600900000,11.28],[1578608700000,104.3],[1578609900000,133.27],[1578654360000,77.14],[1578660420000,172.04],[1578662220000,158.8],[1578662580000,16.53],[1578668400000,138.55],[1578682800000,12.08],[1578685980000,29.65],[1578687120000,15.37],[1578696300000,384.0],[1578697740000,468.0],[1578773040000,14.09],[1578775020000,27.33],[1578775440000,100.0],[1578833580000,17.14],[1578835140000,19.86],[1578837180000,20.78],[1578860760000,8.29],[1578921300000,24.13],[1578945900000,10.84],[1578960600000,237.94],[1578982260000,84.11999999999989]]"
396,"[[1577845560000,72.39],[1577871240000,59.13],[1577871300000,92.0],[1577879160000,75.13],[1577892840000,35.56],[1577893680000,70.0],[1577894460000,64.56],[1577896500000,46.89],[1577902020000,17.19],[1577965860000,72.45],[1577966700000,44.99],[1577975640000,10.21],[1577979840000,25.3],[1577980620000,96.0],[1577981940000,61.69],[1577989920000,53.91],[1578018240000,60.19],[1578049860000,9.38],[1578051600000,54.96],[1578057060000,37.31],[1578065400000,38.2],[1578065700000,57.0],[1578077460000,52.01],[1578103920000,64.63],[1578130800000,30.17],[1578130980000,58.0],[1578137340000,13.54],[1578137700000,68.99],[1578149640000,45.79],[1578149760000,51.0],[1578152640000,39.17],[1578152760000,88.0],[1578163920000,51.08],[1578191220000,62.45],[1578198900000,4.28],[1578207060000,13.56],[1578217680000,99.0],[1578218160000,41.97],[1578223620000,9.19],[1578224460000,60.45],[1578225660000,56.17],[1578238260000,47.36],[1578239400000,78.0],[1578241500000,54.49],[1578277440000,60.88],[1578291600000,15.03],[1578303660000,91.0],[1578303900000,39.79],[1578309180000,5.75],[1578321480000,37.88],[1578321900000,72.0],[1578325200000,84.0],[1578325260000,45.93],[1578325800000,61.08],[1578334920000,9.6],[1578337020000,49.6],[1578376380000,6.92],[1578390720000,86.0],[1578390900000,23.38],[1578394860000,8.85],[1578398340000,65.42],[1578412860000,76.65],[1578469860000,57.77],[1578493680000,88.32],[1578508620000,42.18],[1578536940000,67.63],[1578550800000,9.67],[1578562800000,41.22],[1578563940000,73.0],[1578569160000,5.61],[1578570600000,58.79],[1578583440000,53.0],[1578583680000,30.03],[1578584580000,86.0],[1578585180000,39.55],[1578593940000,44.0],[1578594360000,14.9],[1578594840000,31.98],[1578620760000,78.29],[1578622920000,49.97],[1578636720000,15.86],[1578637140000,22.59],[1578649260000,70.0],[1578650100000,43.28],[1578654300000,8.89],[1578655980000,62.49],[1578670620000,63.0],[1578671700000,22.61],[1578673140000,60.66],[1578680940000,17.84],[1578681300000,55.46],[1578682320000,13.78],[1578708060000,67.57],[1578734340000,44.14],[1578734700000,52.0],[1578735180000,65.0],[1578735600000,44.82],[1578741240000,6.47],[1578743640000,69.15],[1578757260000,38.57],[1578758100000,93.0],[1578759660000,56.88],[1578763260000,12.57],[1578766140000,51.28],[1578767640000,57.22],[1578809400000,16.47],[1578823500000,56.0],[1578823980000,54.82],[1578828000000,8.92],[1578829500000,51.32],[1578838140000,144.37],[1578843180000,18.1],[1578843600000,69.0],[1578845520000,68.95],[1578852180000,8.29],[1578854820000,55.22],[1578866640000,80.0],[1578881820000,52.37],[1578883500000,57.17],[1578906060000,74.0],[1578907320000,40.4],[1578908220000,38.29],[1578908460000,74.0],[1578913260000,8.83],[1578916080000,72.09],[1578931080000,94.0],[1578931080000,45.11],[1578931620000,57.0],[1578932760000,34.26],[1578939120000,16.05],[1578940560000,57.79],[1578963660000,61.88],[1578968400000,66.12],[1578994260000,50.8700000000008]]"
